"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"19/11/2025","442,67","441,04","443,58","440,28","4,81B","0,55%"
"18/11/2025","440,24","444,51","446,18","438,73","5,14B","-1,00%"
"17/11/2025","444,68","444,02","446,76","443,66","6,44B","0,35%"
"14/11/2025","443,13","441,46","445,12","440,84","3,95B","0,43%"
"13/11/2025","441,25","446,11","446,52","440,89","6,54B","-1,09%"
"12/11/2025","446,11","443,56","448,25","443,01","7,92B","0,90%"
"11/11/2025","442,14","446,72","447,45","440,64","12,35B","-0,35%"
"10/11/2025","443,68","447,49","448,47","443,68","15,87B","-0,12%"
"07/11/2025","444,21","442,78","445,56","442,15","4,92B","0,32%"
"06/11/2025","442,78","445,39","445,66","441,49","3,98B","-0,52%"
"05/11/2025","445,08","439,94","445,08","437,90","13,16B","0,94%"
"04/11/2025","440,94","443,28","446,18","440,67","4,63B","-0,57%"
"03/11/2025","443,47","439,17","444,37","438,80","980,66M","1,49%"
"31/10/2025","436,96","440,45","441,92","435,86","5,93B","-0,84%"
"30/10/2025","440,65","440,72","446,13","438,95","12,66B","0,12%"
"29/10/2025","440,12","432,51","440,12","430,37","2,66B","1,63%"
"28/10/2025","433,04","434,05","436,27","429,21","4,33B","-0,09%"
"27/10/2025","433,45","437,58","440,71","424,67","7,79B","-0,20%"
"24/10/2025","434,30","433,47","439,15","433,39","2,97B","0,22%"
"23/10/2025","433,33","423,10","434,44","422,98","2,95B","2,66%"
"22/10/2025","422,11","429,49","431,63","421,58","3,02B","-1,50%"
"21/10/2025","428,55","421,14","428,70","420,08","3,99B","3,18%"
"20/10/2025","415,34","407,01","418,07","405,41","5,39B","3,58%"
"17/10/2025","401,00","405,87","407,08","398,38","4,30B","-1,16%"
"16/10/2025","405,68","403,80","408,55","402,26","2,82B","0,50%"
"15/10/2025","403,68","405,99","407,22","397,26","4,56B","0,14%"
"14/10/2025","403,13","413,18","415,58","403,13","6,20B","-2,14%"
"13/10/2025","411,94","410,48","416,07","408,40","3,76B","-0,77%"
"10/10/2025","415,14","418,03","418,03","413,88","3,48B","-0,79%"
"09/10/2025","418,44","411,16","420,49","408,96","4,04B","1,74%"
"08/10/2025","411,29","413,87","414,73","407,02","2,83B","-0,25%"
"07/10/2025","412,31","413,02","415,24","410,91","4,26B","0,36%"
"06/10/2025","410,83","414,16","415,67","410,07","5,97B","-0,37%"
"03/10/2025","412,36","412,59","414,15","410,72","9,64B","0,23%"
"02/10/2025","411,43","412,17","415,86","411,14","4,21B","-0,01%"
"01/10/2025","411,47","415,16","417,61","411,35","5,29B","-1,08%"
"30/09/2025","415,96","421,54","423,07","415,74","5,69B","-1,25%"
"29/09/2025","421,21","423,51","424,36","420,59","5,06B","-0,07%"
"26/09/2025","421,51","416,76","421,51","416,33","6,83B","0,87%"
"25/09/2025","417,89","423,73","425,16","417,86","8,39B","-1,57%"
"24/09/2025","424,56","425,96","426,72","421,67","3,23B","-0,05%"
"23/09/2025","424,79","422,29","424,79","419,93","5,81B","0,71%"
"22/09/2025","421,80","424,83","425,12","419,42","4,25B","-0,18%"
"19/09/2025","422,56","418,23","423,36","417,49","10,70B","0,43%"
