"Date","Price","Open","High","Low","Vol.","Change %"
"11/19/2025","21,168.3","21,172.6","21,237.3","21,078.4","","-0.02%"
"11/18/2025","21,172.6","21,213.4","21,285.0","21,042.9","","-0.19%"
"11/17/2025","21,213.4","21,470.3","21,470.3","21,148.7","","-1.20%"
"11/14/2025","21,470.3","21,534.4","21,583.8","21,336.2","","-0.30%"
"11/13/2025","21,534.4","21,807.3","21,807.3","21,513.2","","-1.25%"
"11/12/2025","21,807.3","21,716.7","21,877.0","21,716.7","","0.42%"
"11/11/2025","21,716.7","21,566.4","21,754.5","21,566.4","","0.70%"
"11/10/2025","21,566.4","21,408.6","21,603.6","21,408.6","","0.74%"
"11/07/2025","21,408.6","21,288.4","21,409.2","21,157.4","","0.56%"
"11/06/2025","21,288.4","21,361.6","21,417.8","21,237.8","","-0.34%"
"11/05/2025","21,361.6","21,282.7","21,452.2","21,271.7","","0.37%"
"11/04/2025","21,282.7","21,416.6","21,416.6","21,187.1","","-0.63%"
"11/03/2025","21,416.6","21,459.6","21,459.6","21,253.1","","-0.20%"
"10/31/2025","21,459.6","21,451.0","21,510.6","21,350.0","","0.04%"
"10/30/2025","21,451.0","21,525.9","21,639.8","21,423.7","","-0.35%"
"10/29/2025","21,525.9","21,689.6","21,705.9","21,462.8","","-0.75%"
"10/28/2025","21,689.6","21,789.6","21,789.6","21,686.4","","-0.46%"
"10/27/2025","21,789.6","21,698.1","21,799.0","21,698.1","","0.42%"
"10/24/2025","21,698.1","21,623.8","21,778.4","21,623.8","","0.34%"
"10/23/2025","21,623.8","21,514.7","21,661.0","21,514.7","","0.51%"
"10/22/2025","21,514.7","21,571.2","21,606.1","21,424.7","","-0.26%"
"10/21/2025","21,571.2","21,598.2","21,661.8","21,529.4","","-0.13%"
"10/20/2025","21,598.2","21,411.4","21,618.4","21,411.4","","0.87%"
"10/17/2025","21,411.4","21,377.0","21,448.5","21,306.5","","0.16%"
"10/16/2025","21,377.0","21,570.9","21,648.6","21,313.6","","-0.90%"
"10/15/2025","21,570.9","21,500.3","21,736.3","21,431.8","","0.33%"
"10/14/2025","21,500.3","21,381.8","21,592.1","21,182.0","","0.55%"
"10/13/2025","21,381.8","21,096.9","21,433.5","21,096.9","","1.35%"
"10/10/2025","21,096.9","21,548.3","21,603.9","21,096.9","","-2.09%"
"10/09/2025","21,548.3","21,725.8","21,747.3","21,512.4","","-0.82%"
"10/08/2025","21,725.8","21,663.1","21,778.3","21,649.7","","0.29%"
"10/07/2025","21,663.1","21,765.0","21,810.0","21,618.3","","-0.47%"
"10/06/2025","21,765.0","21,725.4","21,820.3","21,718.5","","0.18%"
"10/03/2025","21,725.4","21,608.0","21,813.1","21,608.0","","0.54%"
"10/02/2025","21,608.0","21,640.0","21,673.1","21,513.5","","-0.15%"
"10/01/2025","21,640.0","21,564.5","21,668.6","21,545.4","","0.35%"
